filename,cell_type,img_name,cell_subtype_key,img_type,img_dim,img_height,img_width,img_pixels
basophil/BA_100102.jpg,basophil,BA_100102.jpg,BA,jpg,363 x 360,363,360,130680
basophil/BA_101381.jpg,basophil,BA_101381.jpg,BA,jpg,363 x 360,363,360,130680
basophil/BA_101611.jpg,basophil,BA_101611.jpg,BA,jpg,363 x 360,363,360,130680
basophil/BA_102039.jpg,basophil,BA_102039.jpg,BA,jpg,363 x 360,363,360,130680
basophil/BA_102750.jpg,basophil,BA_102750.jpg,BA,jpg,363 x 360,363,360,130680
basophil/BA_10387.jpg,basophil,BA_10387.jpg,BA,jpg,363 x 360,363,360,130680
basophil/BA_10622.jpg,basophil,BA_10622.jpg,BA,jpg,363 x 360,363,360,130680
basophil/BA_107595.jpg,basophil,BA_107595.jpg,BA,jpg,363 x 360,363,360,130680
basophil/BA_107876.jpg,basophil,BA_107876.jpg,BA,jpg,363 x 360,363,360,130680
basophil/BA_111710.jpg,basophil,BA_111710.jpg,BA,jpg,363 x 360,363,360,130680
basophil/BA_112418.jpg,basophil,BA_112418.jpg,BA,jpg,363 x 360,363,360,130680
basophil/BA_114542.jpg,basophil,BA_114542.jpg,BA,jpg,363 x 360,363,360,130680
basophil/BA_114899.jpg,basophil,BA_114899.jpg,BA,jpg,363 x 360,363,360,130680
basophil/BA_115323.jpg,basophil,BA_115323.jpg,BA,jpg,363 x 360,363,360,130680
basophil/BA_115777.jpg,basophil,BA_115777.jpg,BA,jpg,363 x 360,363,360,130680
basophil/BA_116477.jpg,basophil,BA_116477.jpg,BA,jpg,363 x 360,363,360,130680
basophil/BA_119131.jpg,basophil,BA_119131.jpg,BA,jpg,363 x 360,363,360,130680
basophil/BA_119883.jpg,basophil,BA_119883.jpg,BA,jpg,363 x 360,363,360,130680
basophil/BA_120278.jpg,basophil,BA_120278.jpg,BA,jpg,363 x 360,363,360,130680
basophil/BA_120688.jpg,basophil,BA_120688.jpg,BA,jpg,363 x 360,363,360,130680
basophil/BA_121453.jpg,basophil,BA_121453.jpg,BA,jpg,363 x 360,363,360,130680
basophil/BA_121897.jpg,basophil,BA_121897.jpg,BA,jpg,363 x 360,363,360,130680
basophil/BA_1223.jpg,basophil,BA_1223.jpg,BA,jpg,363 x 360,363,360,130680
basophil/BA_124389.jpg,basophil,BA_124389.jpg,BA,jpg,363 x 360,363,360,130680
basophil/BA_124620.jpg,basophil,BA_124620.jpg,BA,jpg,363 x 360,363,360,130680
basophil/BA_124938.jpg,basophil,BA_124938.jpg,BA,jpg,363 x 360,363,360,130680
basophil/BA_126411.jpg,basophil,BA_126411.jpg,BA,jpg,363 x 360,363,360,130680
basophil/BA_126424.jpg,basophil,BA_126424.jpg,BA,jpg,363 x 360,363,360,130680
basophil/BA_126839.jpg,basophil,BA_126839.jpg,BA,jpg,363 x 360,363,360,130680
basophil/BA_127306.jpg,basophil,BA_127306.jpg,BA,jpg,363 x 360,363,360,130680
basophil/BA_127671.jpg,basophil,BA_127671.jpg,BA,jpg,363 x 360,363,360,130680
basophil/BA_127868.jpg,basophil,BA_127868.jpg,BA,jpg,363 x 360,363,360,130680
basophil/BA_128084.jpg,basophil,BA_128084.jpg,BA,jpg,363 x 360,363,360,130680
basophil/BA_128423.jpg,basophil,BA_128423.jpg,BA,jpg,363 x 360,363,360,130680
basophil/BA_129537.jpg,basophil,BA_129537.jpg,BA,jpg,363 x 360,363,360,130680
basophil/BA_129641.jpg,basophil,BA_129641.jpg,BA,jpg,363 x 360,363,360,130680
basophil/BA_129960.jpg,basophil,BA_129960.jpg,BA,jpg,363 x 360,363,360,130680
